pokedex,og_name,name,generation,height,weight,type1_id,type2_id,ability1_id,ability2_id,ability_hidden_id,color_id,gender_male,gender_female,gender_unknown,egg_steps,egg_group1_id,egg_group2_id,get_rate,base_experience,experience_type,category_id,hp,attack,defence,sp_attack,sp_defence,speed,total,picture_url,created_at,updated_at
8,Wartortle,Wartortle,1,1.0m,22.5kg,3,,6,,242,4,87.5,12.5,0,20,1,8,45,142,1059860,1,59,63,80,65,80,58,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
9,Blastoise,Blastoise,1,1.6m,85.5kg,3,,6,,242,4,87.5,12.5,0,20,1,8,45,265,1059860,1,79,83,100,85,105,78,530,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
9,Blastoise,Mega Blastoise,1,1.6m,101.1kg,3,,7,,,4,87.5,12.5,0,20,1,8,45,284,1059860,1,79,103,120,135,115,78,630,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
10,Caterpie,Caterpie,1,0.3m,2.9kg,4,,8,,15,1,50,50,0,15,2,,255,39,1000000,1,45,30,35,20,20,45,195,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
11,Metapod,Metapod,1,0.7m,9.9kg,4,,9,,,1,50,50,0,15,2,,120,72,1000000,1,50,20,55,25,25,30,205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
12,Butterfree,Butterfree,1,1.1m,32.0kg,4,18,10,,243,5,50,50,0,15,2,,45,198,1000000,1,60,45,50,90,80,70,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
13,Weedle,Weedle,1,0.3m,3.2kg,4,7,8,,15,6,50,50,0,15,2,,255,39,1000000,1,40,35,30,20,20,50,195,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
14,Kakuna,Kakuna,1,0.6m,10.0kg,4,7,9,,,7,50,50,0,15,2,,120,72,1000000,1,45,25,50,25,25,35,205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
15,Beedrill,Beedrill,1,1.0m,29.5kg,4,7,11,,244,7,50,50,0,15,2,,45,198,1000000,1,65,90,40,45,80,75,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
15,Beedrill,Mega Beedrill,1,1.4m,40.5kg,4,7,12,,,7,50,50,0,15,2,,45,223,1000000,1,65,150,40,15,80,145,495,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
16,Pidgey,Pidgey,1,0.3m,1.8kg,5,18,13,199,125,6,50,50,0,15,3,,255,50,1059860,1,40,45,40,35,35,56,251,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
17,Pidgeotto,Pidgeotto,1,1.1m,30.0kg,5,18,13,199,125,6,50,50,0,15,3,,120,122,1059860,1,63,60,55,50,50,71,349,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
18,Pidgeot,Pidgeot,1,1.5m,39.5kg,5,18,13,199,125,6,50,50,0,15,3,,45,240,1059860,1,83,80,75,70,70,101,479,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
18,Pidgeot,Mega Pidgeot,1,2.2m,50.5kg,5,18,14,,,6,50,50,0,15,3,,45,261,1059860,1,83,80,80,135,80,121,579,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
19,Rattata,Rattata,1,0.3m,3.5kg,5,,15,36,69,8,50,50,0,15,4,,255,51,1000000,1,30,56,35,25,35,72,253,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
19,Rattata,Alolan Rattata,1,0.3m,3.8kg,6,5,16,69,2,3,50,50,0,15,4,,255,51,1000000,1,30,56,35,25,35,72,253,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
20,Raticate,Raticate,1,0.7m,18.5kg,5,,15,36,69,6,50,50,0,15,4,,127,145,1000000,1,55,81,60,50,70,97,413,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
20,Raticate,Alolan Raticate,1,0.7m,25.5kg,6,5,16,69,2,3,50,50,0,15,4,,127,145,1000000,1,75,71,70,40,80,77,413,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
21,Spearow,Spearow,1,0.3m,2.0kg,5,18,13,,244,6,50,50,0,15,3,,255,52,1000000,1,40,60,30,31,31,70,262,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
22,Fearow,Fearow,1,1.2m,38.0kg,5,18,13,,244,6,50,50,0,15,3,,90,155,1000000,1,65,90,65,61,61,100,442,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
23,Ekans,Ekans,1,2.0m,6.9kg,7,,17,9,211,8,50,50,0,20,4,15,255,58,1000000,1,35,60,44,40,54,55,288,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
24,Arbok,Arbok,1,3.5m,65.0kg,7,,17,9,211,8,50,50,0,20,4,15,90,157,1000000,1,60,95,69,65,79,80,448,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
25,Pikachu,Pikachu,1,0.4m,6.0kg,8,,18,,54,7,50,50,0,10,4,6,190,112,1000000,1,35,55,40,50,50,90,320,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
26,Raichu,Raichu,1,0.8m,30.0kg,8,,18,,54,7,50,50,0,10,4,6,75,243,1000000,1,60,90,55,90,80,110,485,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
26,Raichu,Alolan Raichu,1,0.7m,21.0kg,8,14,19,,,6,50,50,0,10,4,6,75,243,1000000,1,60,85,50,95,85,110,485,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
27,Sandshrew,Sandshrew,1,0.6m,12.0kg,9,,20,,127,7,50,50,0,20,4,,255,60,1000000,1,50,75,85,20,30,40,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
27,Sandshrew,Alolan Sandshrew,1,0.7m,40.0kg,10,12,21,,245,5,50,50,0,20,4,,255,60,1000000,1,50,75,90,10,35,40,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
28,Sandslash,Sandslash,1,1.0m,29.5kg,9,,20,,127,7,50,50,0,20,4,,90,158,1000000,1,75,100,110,45,55,65,450,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
28,Sandslash,Alolan Sandslash,1,1.2m,55.0kg,10,12,21,,245,4,50,50,0,20,4,,90,158,1000000,1,75,100,120,25,65,65,450,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
29,Nidoran F,Nidoran F,1,0.4m,7.0kg,7,,22,109,69,4,0,100,0,20,1,4,235,55,1059860,1,55,47,52,40,40,41,275,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
30,Nidorina,Nidorina,1,0.8m,20.0kg,7,,22,109,69,4,0,100,0,20,5,,120,128,1059860,1,70,62,67,55,55,56,365,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
31,Nidoqueen,Nidoqueen,1,1.3m,60.0kg,7,9,22,109,95,4,0,100,0,20,5,,45,253,1059860,1,90,92,87,75,85,76,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
32,Nidoran M,Nidoran M,1,0.5m,9.0kg,7,,22,109,69,8,100,0,0,20,1,4,235,55,1059860,1,46,57,40,40,40,50,273,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
33,Nidorino,Nidorino,1,0.9m,19.5kg,7,,22,109,69,8,100,0,0,20,1,4,120,128,1059860,1,61,72,57,55,55,65,365,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
34,Nidoking,Nidoking,1,1.4m,62.0kg,7,9,22,109,95,8,100,0,0,20,1,4,45,253,1059860,1,81,102,77,85,75,85,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
35,Clefairy,Clefairy,1,0.6m,7.5kg,11,,23,247,215,9,25,75,0,10,6,,150,113,800000,1,70,45,48,60,65,35,323,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
36,Clefable,Clefable,1,1.3m,40.0kg,11,,23,247,126,9,25,75,0,10,6,,25,242,800000,1,95,70,73,95,90,60,483,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
37,Vulpix,Vulpix,1,0.6m,9.9kg,2,,24,,5,6,25,75,0,20,4,,190,60,1000000,1,38,41,40,50,65,65,299,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
37,Vulpix,Alolan Vulpix,1,0.6m,9.9kg,10,,21,,116,5,25,75,0,20,4,,190,60,1000000,1,38,41,40,50,65,65,299,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
38,Ninetales,Ninetales,1,1.1m,19.9kg,2,,24,,5,7,25,75,0,20,4,,75,177,1000000,1,73,76,75,81,100,100,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
38,Ninetales,Alolan Ninetales,1,1.1m,19.9kg,10,11,21,,116,4,25,75,0,20,4,,75,177,1000000,1,73,67,75,81,100,109,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
39,Jigglypuff,Jigglypuff,1,0.5m,5.5kg,5,11,23,66,215,9,25,75,0,10,6,,170,95,800000,1,115,45,20,45,25,20,270,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
40,Wigglytuff,Wigglytuff,1,1.0m,12.0kg,5,11,23,66,52,9,25,75,0,10,6,,50,218,800000,1,140,70,45,85,50,45,435,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
41,Zubat,Zubat,1,0.8m,7.5kg,7,18,25,,246,8,50,50,0,15,3,,255,49,1000000,1,40,45,35,30,40,55,245,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
42,Golbat,Golbat,1,1.6m,55.0kg,7,18,25,,246,8,50,50,0,15,3,,90,159,1000000,1,75,80,70,65,75,90,455,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
43,Oddish,Oddish,1,0.5m,5.4kg,1,7,26,,15,4,50,50,0,20,7,,255,64,1059860,1,45,50,55,75,65,30,320,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
44,Gloom,Gloom,1,0.8m,8.6kg,1,7,26,,44,4,50,50,0,20,7,,120,138,1059860,1,60,65,70,85,75,40,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
45,Vileplume,Vileplume,1,1.2m,18.6kg,1,7,26,,27,2,50,50,0,20,7,,45,245,1059860,1,75,80,85,110,90,50,490,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
46,Paras,Paras,1,0.3m,5.4kg,4,1,27,155,31,2,50,50,0,20,2,7,190,57,1000000,1,35,70,55,45,55,25,285,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
47,Parasect,Parasect,1,1.0m,29.5kg,4,1,27,155,31,2,50,50,0,20,2,7,75,142,1000000,1,60,95,80,60,80,30,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
48,Venonat,Venonat,1,1.0m,30.0kg,4,7,10,243,15,8,50,50,0,20,2,,190,61,1000000,1,60,55,50,40,55,45,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
49,Venomoth,Venomoth,1,1.5m,12.5kg,4,7,8,243,132,8,50,50,0,20,2,,75,158,1000000,1,70,65,60,90,75,90,450,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
50,Diglett,Diglett,1,0.2m,0.8kg,9,,20,110,74,6,50,50,0,20,4,,255,53,1000000,1,10,55,25,35,45,95,265,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
50,Diglett,Alolan Diglett,1,0.2m,1.0kg,9,12,20,199,74,6,50,50,0,20,4,,255,53,1000000,1,10,55,30,35,45,90,265,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
51,Dugtrio,Dugtrio,1,0.7m,33.3kg,9,,20,110,74,6,50,50,0,20,4,,50,149,1000000,1,35,100,50,50,70,120,425,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
51,Dugtrio,Alolan Dugtrio,1,0.7m,66.6kg,9,12,20,199,74,6,50,50,0,20,4,,50,149,1000000,1,35,100,60,50,70,110,425,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
52,Meowth,Meowth,1,0.4m,4.2kg,5,,28,75,130,7,50,50,0,20,4,,255,58,1000000,1,40,45,35,40,40,90,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
52,Meowth,Alolan Meowth,1,0.4m,4.2kg,6,,28,75,211,4,50,50,0,20,4,,255,58,1000000,1,40,35,35,50,40,90,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
52,Meowth,Galarian Meowth,1,0.4m,7.5kg,12,,28,4,211,6,50,50,0,20,4,,255,58,1000000,1,50,65,55,40,40,40,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
53,Persian,Persian,1,1.0m,32.0kg,5,,30,75,130,7,50,50,0,20,4,,90,154,1000000,1,65,70,60,65,65,115,440,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
53,Persian,Alolan Persian,1,1.1m,33.0kg,6,,29,75,211,4,50,50,0,20,4,,90,154,1000000,1,65,60,60,75,65,115,440,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
54,Psyduck,Psyduck,1,0.8m,19.6kg,3,,31,252,58,7,50,50,0,20,8,4,190,64,1000000,1,50,52,48,65,50,55,320,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
55,Golduck,Golduck,1,1.7m,76.6kg,3,,31,252,58,4,50,50,0,20,8,4,75,175,1000000,1,80,82,78,95,80,85,500,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
56,Mankey,Mankey,1,0.5m,28.0kg,13,,32,261,67,6,50,50,0,20,4,,190,61,1000000,1,40,80,35,35,45,70,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
57,Primeape,Primeape,1,1.0m,32.0kg,13,,32,261,67,6,50,50,0,20,4,,75,159,1000000,1,65,105,60,60,70,95,455,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
58,Growlithe,Growlithe,1,0.7m,19.0kg,2,,17,24,144,6,75,25,0,20,4,,190,70,1250000,1,55,70,45,70,50,60,350,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
58,Growlithe,Hisuian Growlithe,1,0.8m,22.7kg,2,15,17,24,38,6,75,25,0,20,4,,190,70,1250000,1,60,75,45,65,50,55,350,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
59,Arcanine,Arcanine,1,1.9m,155.0kg,2,,17,24,144,6,75,25,0,20,4,,75,194,1250000,1,90,110,80,100,80,95,555,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
59,Arcanine,Hisuian Arcanine,1,2.0m,168.0kg,2,15,17,24,38,6,75,25,0,20,4,,75,194,1250000,1,95,115,80,95,80,90,555,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
60,Poliwag,Poliwag,1,0.6m,12.4kg,3,,33,31,58,4,50,50,0,20,8,,255,60,1059860,1,40,50,40,40,40,90,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
61,Poliwhirl,Poliwhirl,1,1.0m,20.0kg,3,,33,31,58,4,50,50,0,20,8,,120,135,1059860,1,65,65,65,50,50,90,385,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
62,Poliwrath,Poliwrath,1,1.3m,54.0kg,3,13,33,31,58,4,50,50,0,20,8,,45,255,1059860,1,90,95,95,70,90,70,510,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
63,Abra,Abra,1,0.9m,19.5kg,14,,34,25,247,6,75,25,0,20,9,,200,62,1059860,1,25,20,15,105,55,90,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
64,Kadabra,Kadabra,1,1.3m,56.5kg,14,,34,25,247,6,75,25,0,20,9,,100,140,1059860,1,40,35,30,120,70,105,400,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
65,Alakazam,Alakazam,1,1.5m,48.0kg,14,,34,25,247,6,75,25,0,20,9,,50,250,1059860,1,55,50,45,135,95,120,500,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
65,Alakazam,Mega Alakazam,1,1.2m,48.0kg,14,,35,,,6,75,25,0,20,9,,50,270,1059860,1,55,50,65,175,105,150,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
66,Machop,Machop,1,0.8m,19.5kg,13,,36,14,43,10,75,25,0,20,9,,180,61,1059860,1,70,80,50,35,35,35,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
67,Machoke,Machoke,1,1.5m,70.5kg,13,,36,14,43,10,75,25,0,20,9,,90,142,1059860,1,80,100,70,50,60,45,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
68,Machamp,Machamp,1,1.6m,130.0kg,13,,36,14,43,10,75,25,0,20,9,,45,253,1059860,1,90,130,80,65,85,55,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
69,Bellsprout,Bellsprout,1,0.7m,4.0kg,1,7,26,,16,1,50,50,0,20,7,,255,60,1059860,1,50,75,35,70,30,40,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
70,Weepinbell,Weepinbell,1,1.0m,6.4kg,1,7,26,,16,1,50,50,0,20,7,,120,137,1059860,1,65,90,50,85,45,55,390,https://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
71,Victreebel,Victreebel,1,1.7m,15.5kg,1,7,26,,16,1,50,50,0,20,7,,45,245,1059860,1,80,105,65,100,70,70,490,https://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
72,Tentacool,Tentacool,1,0.9m,45.5kg,3,7,37,91,242,4,50,50,0,20,10,,190,67,1250000,1,40,40,35,50,100,70,335,https://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
73,Tentacruel,Tentacruel,1,1.6m,55.0kg,3,7,37,91,242,4,50,50,0,20,10,,60,180,1250000,1,80,70,65,80,120,100,515,https://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
74,Geodude,Geodude,1,0.4m,20.0kg,15,9,39,70,248,6,50,50,0,15,11,,255,60,1059860,1,40,80,100,30,30,20,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
74,Geodude,Alolan Geodude,1,0.4m,20.3kg,15,8,38,70,20,10,50,50,0,15,11,,255,60,1059860,1,40,80,100,30,30,20,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
75,Graveler,Graveler,1,1.0m,105.0kg,15,9,39,70,248,6,50,50,0,15,11,,120,137,1059860,1,55,95,115,45,45,35,390,https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
75,Graveler,Alolan Graveler,1,1.0m,110.0kg,15,8,38,70,20,10,50,50,0,15,11,,120,137,1059860,1,55,95,115,45,45,35,390,https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
76,Golem,Golem,1,1.4m,300.0kg,15,9,39,70,248,6,50,50,0,15,11,,45,223,1059860,1,80,120,130,55,65,45,495,https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
76,Golem,Alolan Golem,1,1.7m,316.0kg,15,8,38,70,20,10,50,50,0,15,11,,45,223,1059860,1,80,120,130,55,65,45,495,https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
