No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Picture_URL,sus,amogus
8,Wartortle,Wartortle,1,1.0m,22.5kg,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,142,1059860,Ordinary,59,63,80,65,80,58,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
9,Blastoise,Blastoise,1,1.6m,85.5kg,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,265,1059860,Ordinary,79,83,100,85,105,78,530,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
9,Blastoise,Mega Blastoise,1,1.6m,101.1kg,Water,,Mega Launcher,,,Blue,87.5,12.5,0,20,Monster,Water1,45,284,1059860,Ordinary,79,103,120,135,115,78,630,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
10,Caterpie,Caterpie,1,0.3m,2.9kg,Bug,,Shield Dust,,Run Away,Green,50,50,0,15,Bug,,255,39,1000000,Ordinary,45,30,35,20,20,45,195,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
11,Metapod,Metapod,1,0.7m,9.9kg,Bug,,Shed Skin,,,Green,50,50,0,15,Bug,,120,72,1000000,Ordinary,50,20,55,25,25,30,205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
12,Butterfree,Butterfree,1,1.1m,32.0kg,Bug,Flying,Compound Eyes,,Tinted Lens,White,50,50,0,15,Bug,,45,198,1000000,Ordinary,60,45,50,90,80,70,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
13,Weedle,Weedle,1,0.3m,3.2kg,Bug,Poison,Shield Dust,,Run Away,Brown,50,50,0,15,Bug,,255,39,1000000,Ordinary,40,35,30,20,20,50,195,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
14,Kakuna,Kakuna,1,0.6m,10.0kg,Bug,Poison,Shed Skin,,,Yellow,50,50,0,15,Bug,,120,72,1000000,Ordinary,45,25,50,25,25,35,205,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
15,Beedrill,Beedrill,1,1.0m,29.5kg,Bug,Poison,Swarm,,Sniper,Yellow,50,50,0,15,Bug,,45,198,1000000,Ordinary,65,90,40,45,80,75,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
15,Beedrill,Mega Beedrill,1,1.4m,40.5kg,Bug,Poison,Adaptability,,,Yellow,50,50,0,15,Bug,,45,223,1000000,Ordinary,65,150,40,15,80,145,495,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
16,Pidgey,Pidgey,1,0.3m,1.8kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,255,50,1059860,Ordinary,40,45,40,35,35,56,251,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
17,Pidgeotto,Pidgeotto,1,1.1m,30.0kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,120,122,1059860,Ordinary,63,60,55,50,50,71,349,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
18,Pidgeot,Pidgeot,1,1.5m,39.5kg,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,45,240,1059860,Ordinary,83,80,75,70,70,101,479,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
18,Pidgeot,Mega Pidgeot,1,2.2m,50.5kg,Normal,Flying,No Guard,,,Brown,50,50,0,15,Flying,,45,261,1059860,Ordinary,83,80,80,135,80,121,579,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
19,Rattata,Rattata,1,0.3m,3.5kg,Normal,,Run Away,Guts,Hustle,Purple,50,50,0,15,Ground,,255,51,1000000,Ordinary,30,56,35,25,35,72,253,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
19,Rattata,Alolan Rattata,1,0.3m,3.8kg,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,255,51,1000000,Ordinary,30,56,35,25,35,72,253,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
20,Raticate,Raticate,1,0.7m,18.5kg,Normal,,Run Away,Guts,Hustle,Brown,50,50,0,15,Ground,,127,145,1000000,Ordinary,55,81,60,50,70,97,413,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
20,Raticate,Alolan Raticate,1,0.7m,25.5kg,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,127,145,1000000,Ordinary,75,71,70,40,80,77,413,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
21,Spearow,Spearow,1,0.3m,2.0kg,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,255,52,1000000,Ordinary,40,60,30,31,31,70,262,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
22,Fearow,Fearow,1,1.2m,38.0kg,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,90,155,1000000,Ordinary,65,90,65,61,61,100,442,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
23,Ekans,Ekans,1,2.0m,6.9kg,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,255,58,1000000,Ordinary,35,60,44,40,54,55,288,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
24,Arbok,Arbok,1,3.5m,65.0kg,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,90,157,1000000,Ordinary,60,95,69,65,79,80,448,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
25,Pikachu,Pikachu,1,0.4m,6.0kg,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,190,112,1000000,Ordinary,35,55,40,50,50,90,320,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
26,Raichu,Raichu,1,0.8m,30.0kg,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,60,90,55,90,80,110,485,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
26,Raichu,Alolan Raichu,1,0.7m,21.0kg,Electric,Psychic,Surge Surfer,,,Brown,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,60,85,50,95,85,110,485,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
27,Sandshrew,Sandshrew,1,0.6m,12.0kg,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,255,60,1000000,Ordinary,50,75,85,20,30,40,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
27,Sandshrew,Alolan Sandshrew,1,0.7m,40.0kg,Ice,Steel,Snow Cloak,,Slush Rush,White,50,50,0,20,Ground,,255,60,1000000,Ordinary,50,75,90,10,35,40,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
28,Sandslash,Sandslash,1,1.0m,29.5kg,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,90,158,1000000,Ordinary,75,100,110,45,55,65,450,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
28,Sandslash,Alolan Sandslash,1,1.2m,55.0kg,Ice,Steel,Snow Cloak,,Slush Rush,Blue,50,50,0,20,Ground,,90,158,1000000,Ordinary,75,100,120,25,65,65,450,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
29,Nidoran F,Nidoran F,1,0.4m,7.0kg,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Monster,Ground,235,55,1059860,Ordinary,55,47,52,40,40,41,275,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
30,Nidorina,Nidorina,1,0.8m,20.0kg,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Undiscovered,,120,128,1059860,Ordinary,70,62,67,55,55,56,365,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
31,Nidoqueen,Nidoqueen,1,1.3m,60.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0,100,0,20,Undiscovered,,45,253,1059860,Ordinary,90,92,87,75,85,76,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
32,Nidoran M,Nidoran M,1,0.5m,9.0kg,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,235,55,1059860,Ordinary,46,57,40,40,40,50,273,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
33,Nidorino,Nidorino,1,0.9m,19.5kg,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,120,128,1059860,Ordinary,61,72,57,55,55,65,365,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
34,Nidoking,Nidoking,1,1.4m,62.0kg,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100,0,0,20,Monster,Ground,45,253,1059860,Ordinary,81,102,77,85,75,85,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
35,Clefairy,Clefairy,1,0.6m,7.5kg,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25,75,0,10,Fairy,,150,113,800000,Ordinary,70,45,48,60,65,35,323,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
36,Clefable,Clefable,1,1.3m,40.0kg,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25,75,0,10,Fairy,,25,242,800000,Ordinary,95,70,73,95,90,60,483,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
37,Vulpix,Vulpix,1,0.6m,9.9kg,Fire,,Flash Fire,,Drought,Brown,25,75,0,20,Ground,,190,60,1000000,Ordinary,38,41,40,50,65,65,299,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
37,Vulpix,Alolan Vulpix,1,0.6m,9.9kg,Ice,,Snow Cloak,,Snow Warning,White,25,75,0,20,Ground,,190,60,1000000,Ordinary,38,41,40,50,65,65,299,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
38,Ninetales,Ninetales,1,1.1m,19.9kg,Fire,,Flash Fire,,Drought,Yellow,25,75,0,20,Ground,,75,177,1000000,Ordinary,73,76,75,81,100,100,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
38,Ninetales,Alolan Ninetales,1,1.1m,19.9kg,Ice,Fairy,Snow Cloak,,Snow Warning,Blue,25,75,0,20,Ground,,75,177,1000000,Ordinary,73,67,75,81,100,109,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
39,Jigglypuff,Jigglypuff,1,0.5m,5.5kg,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25,75,0,10,Fairy,,170,95,800000,Ordinary,115,45,20,45,25,20,270,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
40,Wigglytuff,Wigglytuff,1,1.0m,12.0kg,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25,75,0,10,Fairy,,50,218,800000,Ordinary,140,70,45,85,50,45,435,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
41,Zubat,Zubat,1,0.8m,7.5kg,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,255,49,1000000,Ordinary,40,45,35,30,40,55,245,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
42,Golbat,Golbat,1,1.6m,55.0kg,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,90,159,1000000,Ordinary,75,80,70,65,75,90,455,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
43,Oddish,Oddish,1,0.5m,5.4kg,Grass,Poison,Chlorophyll,,Run Away,Blue,50,50,0,20,Grass,,255,64,1059860,Ordinary,45,50,55,75,65,30,320,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
44,Gloom,Gloom,1,0.8m,8.6kg,Grass,Poison,Chlorophyll,,Stench,Blue,50,50,0,20,Grass,,120,138,1059860,Ordinary,60,65,70,85,75,40,395,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
45,Vileplume,Vileplume,1,1.2m,18.6kg,Grass,Poison,Chlorophyll,,Effect Spore,Red,50,50,0,20,Grass,,45,245,1059860,Ordinary,75,80,85,110,90,50,490,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
46,Paras,Paras,1,0.3m,5.4kg,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,190,57,1000000,Ordinary,35,70,55,45,55,25,285,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
47,Parasect,Parasect,1,1.0m,29.5kg,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,75,142,1000000,Ordinary,60,95,80,60,80,30,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
48,Venonat,Venonat,1,1.0m,30.0kg,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50,50,0,20,Bug,,190,61,1000000,Ordinary,60,55,50,40,55,45,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
49,Venomoth,Venomoth,1,1.5m,12.5kg,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50,50,0,20,Bug,,75,158,1000000,Ordinary,70,65,60,90,75,90,450,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
50,Diglett,Diglett,1,0.2m,0.8kg,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,10,55,25,35,45,95,265,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
50,Diglett,Alolan Diglett,1,0.2m,1.0kg,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,10,55,30,35,45,90,265,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
51,Dugtrio,Dugtrio,1,0.7m,33.3kg,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,35,100,50,50,70,120,425,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
51,Dugtrio,Alolan Dugtrio,1,0.7m,66.6kg,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,35,100,60,50,70,110,425,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
52,Meowth,Meowth,1,0.4m,4.2kg,Normal,,Pickup,Technician,Unnerve,Yellow,50,50,0,20,Ground,,255,58,1000000,Ordinary,40,45,35,40,40,90,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
52,Meowth,Alolan Meowth,1,0.4m,4.2kg,Dark,,Pickup,Technician,Rattled,Blue,50,50,0,20,Ground,,255,58,1000000,Ordinary,40,35,35,50,40,90,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
52,Meowth,Galarian Meowth,1,0.4m,7.5kg,Steel,,Pickup,Tough Claws,Unnerve,Brown,50,50,0,20,Ground,,255,58,1000000,Ordinary,50,65,55,40,40,40,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
53,Persian,Persian,1,1.0m,32.0kg,Normal,,Limber,Technician,Unnerve,Yellow,50,50,0,20,Ground,,90,154,1000000,Ordinary,65,70,60,65,65,115,440,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
53,Persian,Alolan Persian,1,1.1m,33.0kg,Dark,,Fur Coat,Technician,Rattled,Blue,50,50,0,20,Ground,,90,154,1000000,Ordinary,65,60,60,75,65,115,440,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
54,Psyduck,Psyduck,1,0.8m,19.6kg,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50,50,0,20,Water1,Ground,190,64,1000000,Ordinary,50,52,48,65,50,55,320,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
55,Golduck,Golduck,1,1.7m,76.6kg,Water,,Damp,Cloud Nine,Swift Swim,Blue,50,50,0,20,Water1,Ground,75,175,1000000,Ordinary,80,82,78,95,80,85,500,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
56,Mankey,Mankey,1,0.5m,28.0kg,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,190,61,1000000,Ordinary,40,80,35,35,45,70,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
57,Primeape,Primeape,1,1.0m,32.0kg,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,75,159,1000000,Ordinary,65,105,60,60,70,95,455,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
58,Growlithe,Growlithe,1,0.7m,19.0kg,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,55,70,45,70,50,60,350,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
58,Growlithe,Hisuian Growlithe,1,0.8m,22.7kg,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,60,75,45,65,50,55,350,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
59,Arcanine,Arcanine,1,1.9m,155.0kg,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,90,110,80,100,80,95,555,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
59,Arcanine,Hisuian Arcanine,1,2.0m,168.0kg,Fire,Rock,Intimidate,Flash Fire,Rock Head,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,95,115,80,95,80,90,555,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
60,Poliwag,Poliwag,1,0.6m,12.4kg,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,255,60,1059860,Ordinary,40,50,40,40,40,90,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
61,Poliwhirl,Poliwhirl,1,1.0m,20.0kg,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,120,135,1059860,Ordinary,65,65,65,50,50,90,385,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
62,Poliwrath,Poliwrath,1,1.3m,54.0kg,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,45,255,1059860,Ordinary,90,95,95,70,90,70,510,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
63,Abra,Abra,1,0.9m,19.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,200,62,1059860,Ordinary,25,20,15,105,55,90,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
64,Kadabra,Kadabra,1,1.3m,56.5kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,100,140,1059860,Ordinary,40,35,30,120,70,105,400,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
65,Alakazam,Alakazam,1,1.5m,48.0kg,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,50,250,1059860,Ordinary,55,50,45,135,95,120,500,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
65,Alakazam,Mega Alakazam,1,1.2m,48.0kg,Psychic,,Trace,,,Brown,75,25,0,20,Human-Like,,50,270,1059860,Ordinary,55,50,65,175,105,150,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
